,Replicate,Sample,Control
130,Karpas.299.311Cas9.Rep.B.p5_batch1,ACH-000053,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
131,Karpas.299.311Cas9.Rep.C.p5_batch1,ACH-000053,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
132,MOLM.13.311cas9.Rep.A.p5_batch1,ACH-000362,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
133,MOLM.13.311cas9.Rep.B.p5_batch1,ACH-000362,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
134,MOLM.13.311cas9.Rep.C.p5_batch1,ACH-000362,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
135,HCC461.Avana4.Rep.A.p6_batch1,ACH-000339,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
136,HCC461.Avana4.Rep.B.p6_batch1,ACH-000339,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
137,HCC461.Avana4.Rep.C.p6_batch1,ACH-000339,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
138,HCC827.311Cas9.Rep.A.p6_batch1,ACH-000012,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
139,HCC827.311Cas9.Rep.B.p6_batch1,ACH-000012,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
140,HCC827.311Cas9.Rep.C.p6_batch1,ACH-000012,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
141,Ki.JK.311cas9.Rep.A.p4_batch1,ACH-000773,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
142,Ki.JK.311cas9.Rep.B.p4_batch1,ACH-000773,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
143,Ki.JK.311cas9.Rep.C.p4_batch1,ACH-000773,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
144,THP.1.AVANA.4.Rep.A.p5_batch1,ACH-000146,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
145,THP.1.AVANA.4.Rep.B.p5_batch1,ACH-000146,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
146,THP.1.AVANA.4.Rep.C.p5_batch1,ACH-000146,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
147,COLO.678.311Cas9.Rep.A.p5_batch1,ACH-000350,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
148,COLO.678.311Cas9.Rep.C.p5_batch1,ACH-000350,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
149,COLO.678.311Cas9.Rep.D.p5_batch1,ACH-000350,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
150,NB.1.311Cas9.Rep.A.p6_batch1,ACH-000804,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
151,NB.1.311Cas9.Rep.B.p6_batch1,ACH-000804,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
152,NB.1.311Cas9.Rep.C.p6_batch1,ACH-000804,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
153,MDST8.311Cas9.Rep.A.p6_batch1,ACH-000935,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
