,Replicate,Sample,Control
684,PA.TU.8988S_PA.TU.8988T.311cas9_RepAB_p6_batch3,ACH-000022,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
685,PA.TU.8988S_PA.TU.8988T.311cas9_RepB_p6_batch3,ACH-000022,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
686,HGC27.311Cas9_RepA_p6_batch3,ACH-000847,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
687,HGC27.311Cas9_RepB_p6_batch3,ACH-000847,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
688,PF382.311CAS9_RepA_p6_batch3,ACH-000937,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
689,PF382.311CAS9_RepB_p6_batch3,ACH-000937,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
690,GSS.311Cas9_RepA_p6_batch3,ACH-000746,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
691,GSS.311Cas9_RepB_p6_batch3,ACH-000746,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
692,CHLA06.311Cas9_RepA_p6_batch3,ACH-001028,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
693,CHLA06.311Cas9_RepB_p6_batch3,ACH-001028,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
694,HLF.311Cas9_RepA_p6_batch3,ACH-000393,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
695,HLF.311Cas9_RepB_p6_batch3,ACH-000393,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
696,MCAS.311Cas9_RepA_p5_batch3,ACH-000796,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
697,MCAS.311Cas9_RepB_p5_batch3,ACH-000796,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
698,WM1799.311Cas9_RepA_p5_batch3,ACH-000661,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
699,WM1799.311Cas9_RepB_p5_batch3,ACH-000661,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
700,KYSE450.311Cas9_RepA_p6_batch3,ACH-000865,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
701,KYSE450.311Cas9_RepB_p6_batch3,ACH-000865,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
702,SLR23.311Cas9_RepA_p6_batch3,ACH-000246,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
703,SLR23.311Cas9_RepB_p6_batch3,ACH-000246,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
704,PLCPRF5.311Cas9_RepA_p6_batch3,ACH-001318,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
705,PLCPRF5.311Cas9_RepB_p6_batch3,ACH-001318,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
706,CAL27.311cas9_RepA_p6_batch3,ACH-000832,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
707,Hs.294T_A101D.311Cas9_RepA_p6_batch3,ACH-000014,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
708,Hs.294T_A101D.311Cas9_RepB_p6_batch3,ACH-000014,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
709,X59M.311Cas9_RepA_p4_batch3,ACH-000520,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
710,X59M.311Cas9_RepB_p4_batch3,ACH-000520,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
711,X5637.311Cas9_RepA_p6_batch3,ACH-000905,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
712,X5637.311Cas9_RepB_p6_batch3,ACH-000905,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
713,X42.MG.BA.311Cas9_RepA_p6_batch3,ACH-000323,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
714,X42.MG.BA.311Cas9_RepB_p6_batch3,ACH-000323,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
715,SUIT.2.311Cas9_RepA_p5_batch3,ACH-000652,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
716,SUIT.2.311Cas9_RepB_p5_batch3,ACH-000652,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
717,SF.295.311Cas9_RepA_p6_batch3,ACH-000376,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
718,SF.295.311Cas9_RepB_p6_batch3,ACH-000376,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
719,NCI.H1650.311cas9_RepA_p6_batch3,ACH-000035,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
720,NCI.H1650.311cas9_RepB_p6_batch3,ACH-000035,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
721,G.292..Clone.A141B1.311Cas9_RepA_p5_batch3,ACH-000082,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
722,G.292..Clone.A141B1.311Cas9_RepB_p5_batch3,ACH-000082,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
723,MALME.3M.311cas9_RepA_p6_batch3,ACH-000477,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
724,MALME.3M.311cas9_RepB_p6_batch3,ACH-000477,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
725,BICR22.311Cas9_RepA_p6_batch3,ACH-000794,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
726,BICR22.311Cas9_RepB_p6_batch3,ACH-000794,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
727,CORL279.311cas9_RepA_p4_batch3,ACH-000257,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
728,CORL279.311cas9_RepB_p4_batch3,ACH-000257,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
729,VM.CUB1.311Cas9_RepA_p6_batch3,ACH-000545,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
730,VM.CUB1.311Cas9_RepB_p6_batch3,ACH-000545,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
731,HEC6.311Cas9_RepA_p6_batch3,ACH-000984,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
732,HEC6.311Cas9_RepB_p6_batch3,ACH-000984,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
733,BC.3C.311Cas9_RepA_p6_batch3,ACH-000593,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
734,BC.3C.311Cas9_RepB_p6_batch3,ACH-000593,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
735,HEC.1.B.311CAS9_RepA_p6_batch3,ACH-000941,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
736,HEC.1.B.311CAS9_RepB_p6_batch3,ACH-000941,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
737,HMC18.311Cas9_RepA_p6_batch3,ACH-000721,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
738,HMC18.311Cas9_RepB_p6_batch3,ACH-000721,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
739,U343.311Cas9_RepA_p6_batch3,ACH-000036,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
740,U343.311Cas9_RepB_p6_batch3,ACH-000036,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
741,COLO.792.311Cas9_RepA_p6_batch3,ACH-000968,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
742,COLO.792.311Cas9_RepB_p6_batch3,ACH-000968,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
743,PK.1_KLM.1.311Cas9_RepA_p6_batch3,ACH-000307,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
744,PK.1_KLM.1.311Cas9_RepB_p6_batch3,ACH-000307,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
745,UM.UC.3.311Cas9_RepA_p5_batch3,ACH-000522,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
746,UM.UC.3.311Cas9_RepB_p5_batch3,ACH-000522,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
747,C32.311Cas9_RepA_p6_batch3,ACH-000580,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
748,C32.311Cas9_RepB_p6_batch3,ACH-000580,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
749,U87.MG.311Cas9_RepA_p6_batch3,ACH-000075,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
750,U87.MG.311Cas9_RepB_p6_batch3,ACH-000075,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
751,KU.19.19.311Cas9_RepA_p6_batch3,ACH-000486,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
752,KU.19.19.311Cas9_RepB_p6_batch3,ACH-000486,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
753,HS683.311Cas9_RepA_p6_batch3,ACH-000067,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
754,HS683.311Cas9_RepB_p6_batch3,ACH-000067,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
755,T3M.4.311Cas9_RepA_p6_batch3,ACH-000085,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
756,SNGM.311Cas9_RepA_p6_batch3,ACH-000974,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
757,SNGM.311Cas9_RepB_p6_batch3,ACH-000974,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
758,YKG1.311Cas9_RepA_p6_batch3,ACH-000570,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
759,YKG1.311Cas9_RepB_p6_batch3,ACH-000570,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
