,Algorithm,Dataset,nnmd,line
156,ComBat+QN,CCR-JACKS,-4.5147942081874435,ACH-000433
157,ComBat+QN,CCR-JACKS,-4.590091052259666,ACH-000436
158,ComBat+QN,CCR-JACKS,-5.299632630765601,ACH-000444
159,ComBat+QN,CCR-JACKS,-5.1775913536384,ACH-000445
160,ComBat+QN,CCR-JACKS,-5.184144412319508,ACH-000448
161,ComBat+QN,CCR-JACKS,-5.185759663451128,ACH-000450
162,ComBat+QN,CCR-JACKS,-4.716164528826755,ACH-000454
163,ComBat+QN,CCR-JACKS,-5.385813489083384,ACH-000458
164,ComBat+QN,CCR-JACKS,-2.9711117984029527,ACH-000459
165,ComBat+QN,CCR-JACKS,-5.533555294172095,ACH-000460
166,ComBat+QN,CCR-JACKS,-5.178174339128098,ACH-000461
167,ComBat+QN,CCR-JACKS,-4.878947393263836,ACH-000463
168,ComBat+QN,CCR-JACKS,-4.2492322391368,ACH-000466
169,ComBat+QN,CCR-JACKS,-5.070466015758353,ACH-000467
170,ComBat+QN,CCR-JACKS,-4.437825492832518,ACH-000468
171,ComBat+QN,CCR-JACKS,-4.703821242486873,ACH-000470
172,ComBat+QN,CCR-JACKS,-5.480238047318409,ACH-000471
173,ComBat+QN,CCR-JACKS,-5.167354067554133,ACH-000472
174,ComBat+QN,CCR-JACKS,-4.730205002981554,ACH-000473
175,ComBat+QN,CCR-JACKS,-5.531672225613677,ACH-000475
176,ComBat+QN,CCR-JACKS,-4.8747044103285715,ACH-000476
177,ComBat+QN,CCR-JACKS,-4.717863440568005,ACH-000477
178,ComBat+QN,CCR-JACKS,-5.054306762754831,ACH-000478
179,ComBat+QN,CCR-JACKS,-5.646952225783348,ACH-000480
180,ComBat+QN,CCR-JACKS,-4.704218085212865,ACH-000483
181,ComBat+QN,CCR-JACKS,-4.4148485422425106,ACH-000484
182,ComBat+QN,CCR-JACKS,-4.855859810502169,ACH-000485
183,ComBat+QN,CCR-JACKS,-5.443332522382531,ACH-000486
184,ComBat+QN,CCR-JACKS,-5.591723323737727,ACH-000487
185,ComBat+QN,CCR-JACKS,-5.196820527062441,ACH-000488
186,ComBat+QN,CCR-JACKS,-5.623405023590764,ACH-000490
187,ComBat+QN,CCR-JACKS,-4.405790442808842,ACH-000491
188,ComBat+QN,CCR-JACKS,-5.219643203207056,ACH-000493
189,ComBat+QN,CCR-JACKS,-4.940051433355133,ACH-000495
190,ComBat+QN,CCR-JACKS,-5.4893836653900845,ACH-000496
191,ComBat+QN,CCR-JACKS,-3.4251093838702005,ACH-000498
192,ComBat+QN,CCR-JACKS,-4.66188449200548,ACH-000499
193,ComBat+QN,CCR-JACKS,-3.659533450003279,ACH-000500
194,ComBat+QN,CCR-JACKS,-5.429283768606488,ACH-000502
195,ComBat+QN,CCR-JACKS,-4.592620268613025,ACH-000503
196,ComBat+QN,CCR-JACKS,-5.4173096643603404,ACH-000507
197,ComBat+QN,CCR-JACKS,-5.2511374752502284,ACH-000511
198,ComBat+QN,CCR-JACKS,-4.55597471485871,ACH-000512
199,ComBat+QN,CCR-JACKS,-4.955256994936523,ACH-000516
200,ComBat+QN,CCR-JACKS,-5.314677396311524,ACH-000517
201,ComBat+QN,CCR-JACKS,-4.775335687181011,ACH-000520
202,ComBat+QN,CCR-JACKS,-5.04034970060837,ACH-000521
203,ComBat+QN,CCR-JACKS,-5.415659917652001,ACH-000522
204,ComBat+QN,CCR-JACKS,-5.749235446437222,ACH-000528
205,ComBat+QN,CCR-JACKS,-6.02648783901921,ACH-000537
206,ComBat+QN,CCR-JACKS,-4.244173268258196,ACH-000541
207,ComBat+QN,CCR-JACKS,-5.114725993428968,ACH-000542
208,ComBat+QN,CCR-JACKS,-5.347811744157468,ACH-000545
209,ComBat+QN,CCR-JACKS,-4.899841204868173,ACH-000547
210,ComBat+QN,CCR-JACKS,-4.890554480761885,ACH-000549
211,ComBat+QN,CCR-JACKS,-5.043245868723715,ACH-000550
212,ComBat+QN,CCR-JACKS,-4.752715188705923,ACH-000556
213,ComBat+QN,CCR-JACKS,-3.561308064169892,ACH-000557
214,ComBat+QN,CCR-JACKS,-5.823997028291884,ACH-000570
215,ComBat+QN,CCR-JACKS,-4.824665026165285,ACH-000576
216,ComBat+QN,CCR-JACKS,-4.205734727493152,ACH-000577
217,ComBat+QN,CCR-JACKS,-5.104391010391846,ACH-000580
218,ComBat+QN,CCR-JACKS,-5.445029115212627,ACH-000588
219,ComBat+QN,CCR-JACKS,-5.468646021944934,ACH-000589
220,ComBat+QN,CCR-JACKS,-5.096432332846213,ACH-000591
221,ComBat+QN,CCR-JACKS,-5.230509968450578,ACH-000592
222,ComBat+QN,CCR-JACKS,-5.492626086768323,ACH-000593
223,ComBat+QN,CCR-JACKS,-5.007097415789524,ACH-000596
224,ComBat+QN,CCR-JACKS,-4.559912296406025,ACH-000600
225,ComBat+QN,CCR-JACKS,-4.512617751147025,ACH-000604
226,ComBat+QN,CCR-JACKS,-4.375509145903735,ACH-000605
227,ComBat+QN,CCR-JACKS,-5.15977288440492,ACH-000606
228,ComBat+QN,CCR-JACKS,-4.161961097590726,ACH-000608
229,ComBat+QN,CCR-JACKS,-4.761804788929825,ACH-000614
230,ComBat+QN,CCR-JACKS,-4.825592077933888,ACH-000616
231,ComBat+QN,CCR-JACKS,-5.230334108560606,ACH-000618
232,ComBat+QN,CCR-JACKS,-5.672954439498606,ACH-000620
233,ComBat+QN,CCR-JACKS,-4.852164093609534,ACH-000621
234,ComBat+QN,CCR-JACKS,-5.020532502336723,ACH-000623
235,ComBat+QN,CCR-JACKS,-5.532997389279628,ACH-000627
236,ComBat+QN,CCR-JACKS,-5.738018624629162,ACH-000630
237,ComBat+QN,CCR-JACKS,-5.433945768705755,ACH-000632
238,ComBat+QN,CCR-JACKS,-5.039401270616189,ACH-000633
239,ComBat+QN,CCR-JACKS,-5.1385558604806505,ACH-000638
240,ComBat+QN,CCR-JACKS,-5.414487943759773,ACH-000639
241,ComBat+QN,CCR-JACKS,-4.208484944392135,ACH-000646
242,ComBat+QN,CCR-JACKS,-5.060154422659073,ACH-000647
243,ComBat+QN,CCR-JACKS,-4.80833016149857,ACH-000648
244,ComBat+QN,CCR-JACKS,-4.926050018980696,ACH-000649
245,ComBat+QN,CCR-JACKS,-4.77044223797142,ACH-000653
246,ComBat+QN,CCR-JACKS,-5.598630395649966,ACH-000654
247,ComBat+QN,CCR-JACKS,-5.231556820574566,ACH-000655
248,ComBat+QN,CCR-JACKS,-4.743263827336382,ACH-000658
249,ComBat+QN,CCR-JACKS,-5.473226208713116,ACH-000661
250,ComBat+QN,CCR-JACKS,-4.996952618811629,ACH-000663
251,ComBat+QN,CCR-JACKS,-5.59711565851379,ACH-000671
252,ComBat+QN,CCR-JACKS,-5.105200793726777,ACH-000673
253,ComBat+QN,CCR-JACKS,-5.527388601602109,ACH-000676
254,ComBat+QN,CCR-JACKS,-5.368322869041976,ACH-000682
255,ComBat+QN,CCR-JACKS,-4.880695690556149,ACH-000683
256,ComBat+QN,CCR-JACKS,-4.273309256716534,ACH-000684
257,ComBat+QN,CCR-JACKS,-4.611705400535206,ACH-000688
258,ComBat+QN,CCR-JACKS,-5.677857467172756,ACH-000693
259,ComBat+QN,CCR-JACKS,-4.062049516300497,ACH-000695
260,ComBat+QN,CCR-JACKS,-5.004259761446912,ACH-000697
261,ComBat+QN,CCR-JACKS,-4.1026317249228725,ACH-000700
262,ComBat+QN,CCR-JACKS,-4.279484436505488,ACH-000701
263,ComBat+QN,CCR-JACKS,-5.1884717941960785,ACH-000702
264,ComBat+QN,CCR-JACKS,-5.823065471050587,ACH-000706
265,ComBat+QN,CCR-JACKS,-4.705187581649866,ACH-000713
266,ComBat+QN,CCR-JACKS,-4.7464417630372,ACH-000718
267,ComBat+QN,CCR-JACKS,-5.409465129996855,ACH-000720
268,ComBat+QN,CCR-JACKS,-5.287538159912475,ACH-000721
269,ComBat+QN,CCR-JACKS,-4.175761566306334,ACH-000724
270,ComBat+QN,CCR-JACKS,-4.404294478587014,ACH-000725
271,ComBat+QN,CCR-JACKS,-4.938530289114733,ACH-000732
272,ComBat+QN,CCR-JACKS,-5.589989600896633,ACH-000734
273,ComBat+QN,CCR-JACKS,-5.766977929857459,ACH-000735
274,ComBat+QN,CCR-JACKS,-5.020146714860026,ACH-000736
275,ComBat+QN,CCR-JACKS,-4.849670726557058,ACH-000739
276,ComBat+QN,CCR-JACKS,-4.450579470976688,ACH-000746
277,ComBat+QN,CCR-JACKS,-5.794554259379148,ACH-000747
278,ComBat+QN,CCR-JACKS,-5.433276680567839,ACH-000753
279,ComBat+QN,CCR-JACKS,-4.445824774232228,ACH-000757
280,ComBat+QN,CCR-JACKS,-5.201391946600087,ACH-000758
281,ComBat+QN,CCR-JACKS,-5.072267031593989,ACH-000760
282,ComBat+QN,CCR-JACKS,-5.149030140052815,ACH-000762
283,ComBat+QN,CCR-JACKS,-4.632814143274797,ACH-000763
284,ComBat+QN,CCR-JACKS,-5.027595799030453,ACH-000764
285,ComBat+QN,CCR-JACKS,-4.924698832108934,ACH-000765
286,ComBat+QN,CCR-JACKS,-5.014419426665035,ACH-000766
287,ComBat+QN,CCR-JACKS,-4.2663561688425,ACH-000767
288,ComBat+QN,CCR-JACKS,-4.805983086505132,ACH-000770
289,ComBat+QN,CCR-JACKS,-5.711385961870185,ACH-000771
290,ComBat+QN,CCR-JACKS,-5.010247613548887,ACH-000773
291,ComBat+QN,CCR-JACKS,-4.770478563073575,ACH-000776
292,ComBat+QN,CCR-JACKS,-5.2129727601846145,ACH-000777
293,ComBat+QN,CCR-JACKS,-4.881091486175558,ACH-000782
294,ComBat+QN,CCR-JACKS,-4.245012786737325,ACH-000783
295,ComBat+QN,CCR-JACKS,-4.717636109255655,ACH-000785
296,ComBat+QN,CCR-JACKS,-4.934221066753359,ACH-000790
297,ComBat+QN,CCR-JACKS,-4.576444620609712,ACH-000791
298,ComBat+QN,CCR-JACKS,-5.427042616424569,ACH-000792
